XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,SBIL,SBILErr,Leading,,,
1_2,XY,184,297.7271646,0.329567916,8.12625712,0.010364862,1,,,
1_2,XY,185,291.6391279,0.330937291,8.638136897,0.010861474,0,,,
1_2,XY,186,289.2201601,0.365253663,8.192732751,0.011876136,0,,,
1_2,XY,187,288.3252823,0.339807637,8.004032521,0.011344283,0,,,
1_2,XY,188,290.9832682,0.378558532,8.092794411,0.012532025,0,,,
1_2,XY,189,290.9865066,0.341853124,7.70298993,0.010701743,0,,,
1_2,XY,190,288.9524474,0.352763147,7.583878836,0.010675755,0,,,
1_2,XY,191,288.8943091,0.374481374,7.927883108,0.012151518,0,,,
1_2,XY,196,298.4982107,0.379165164,7.221330282,0.01072558,1,,,
1_2,XY,197,291.3788206,0.369380771,7.936268973,0.011620801,0,,,
1_2,XY,198,290.4733687,0.393006524,7.748999497,0.01167546,0,,,
1_2,XY,199,289.0977078,0.46541901,7.490661405,0.013874592,0,,,
1_2,XY,200,291.3391376,0.356468192,8.056649238,0.011670344,0,,,
1_2,XY,201,291.0752898,0.36959714,7.707938925,0.011346898,0,,,
1_2,XY,202,288.6673659,0.431009051,7.840863415,0.013783551,0,,,
1_2,XY,203,291.0009027,0.349889496,7.863588648,0.011010909,0,,,
1_2,XY,208,298.5818743,0.360668601,8.01275512,0.011664315,1,,,
1_2,XY,209,290.9953109,0.446468287,8.62997148,0.015990848,0,,,
1_2,XY,210,288.8571125,0.386344043,7.888815876,0.011875343,0,,,
1_2,XY,211,288.2427857,0.41804467,7.843426921,0.013339492,0,,,
1_2,XY,212,290.5206015,0.379431705,8.566576907,0.013515649,0,,,
1_2,XY,213,289.8007394,0.305310155,8.018096561,0.009654673,0,,,
1_2,XY,214,288.5112312,0.366279271,7.787736448,0.01122945,0,,,
1_2,XY,215,291.1149637,0.323666323,7.709002923,0.009784922,0,,,
1_2,XY,223,296.5344301,0.43203395,7.542700518,0.012807682,1,,,
1_2,XY,224,291.9198986,0.355494031,8.858061706,0.012966103,0,,,
1_2,XY,225,288.9411594,0.375218674,8.556183696,0.01287018,0,,,
1_2,XY,226,289.2292456,0.484754282,8.510881291,0.016731632,0,,,
1_2,XY,227,291.9418842,0.359912066,7.505870436,0.010863638,0,,,
1_2,XY,228,288.9796787,0.408717051,7.723582424,0.012485983,0,,,
1_2,XY,229,290.2783752,0.435582398,7.324079515,0.013132848,0,,,
1_2,XY,230,289.9527551,0.441772074,7.782751772,0.01440629,0,,,
1_2,XY,235,297.4106981,0.348322522,8.142453519,0.011128822,1,,,
1_2,XY,236,291.6820275,0.296134378,9.005018267,0.010355119,0,,,
1_2,XY,237,289.1562507,0.297058919,8.808398685,0.010812189,0,,,
1_2,XY,238,289.8762736,0.378663993,8.554522104,0.012923508,0,,,
1_2,XY,239,291.2987012,0.373920178,8.514613653,0.012555738,0,,,
1_2,XY,240,289.5127293,0.475937928,7.615905747,0.014632771,0,,,
1_2,XY,241,291.8543548,0.421443635,7.769094854,0.013377936,0,,,
1_2,XY,242,290.696439,0.360950118,8.189677363,0.011910627,0,,,
