XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,SBIL,SBILErr,Leading
1_2,XY,437,292.8142594,0.520324705,3.259540729,0.006608708,0
1_2,XY,438,292.8193612,0.581949209,3.183348044,0.007212272,0
1_2,XY,439,292.227162,0.606242725,3.116901164,0.007603793,0
1_2,XY,440,292.418612,0.465201697,3.159182618,0.006060684,0
1_2,XY,441,291.2379533,0.607938469,3.054840611,0.007270696,0
1_2,XY,442,291.8466066,0.72321978,3.029875825,0.008581912,0
1_2,XY,443,293.0871822,0.450871641,3.104397631,0.005516279,0
1_2,XY,451,292.2636505,0.575315525,2.927140605,0.006354407,1
1_2,XY,452,292.2565658,0.62587416,3.125024761,0.007609113,0
1_2,XY,453,292.4745641,0.624598942,3.067961505,0.007399401,0
1_2,XY,454,292.8835062,0.58993857,3.166818126,0.007194107,0
1_2,XY,455,292.2747474,0.66820633,3.035298742,0.007780433,0
1_2,XY,456,292.1989945,0.624746713,3.053470765,0.007601488,0
1_2,XY,457,292.5901774,0.666923505,2.974659955,0.007985829,0
1_2,XY,458,292.8208557,0.518837821,3.120305419,0.00626765,0
1_2,XY,463,293.2268423,0.713835882,3.041000599,0.008462882,1
1_2,XY,464,292.1403731,0.571228779,3.204798905,0.007336498,0
1_2,XY,465,292.0917701,0.675632497,3.094931851,0.008165512,0
1_2,XY,466,293.4637648,0.633353017,3.043713368,0.007643632,0
1_2,XY,467,291.3210211,0.691037892,3.16336557,0.008725032,0
1_2,XY,468,291.6588337,0.619783863,3.006381529,0.007353033,0
1_2,XY,469,291.6430853,0.620860563,3.103781,0.007407341,0
1_2,XY,470,292.5652256,0.500298522,3.122381364,0.005907128,0
1_2,XY,475,293.9463261,0.667214297,2.899574799,0.007518333,1
1_2,XY,476,291.8712138,0.678852471,3.031612201,0.008105121,0
1_2,XY,477,293.3738821,0.62589529,2.983688109,0.007339419,0
1_2,XY,478,291.753412,0.706847962,2.974331067,0.0084209,0
1_2,XY,479,291.5090957,0.619484874,3.104838603,0.00762827,0
1_2,XY,480,290.9363319,0.595817891,2.949267656,0.007013032,0
1_2,XY,481,292.0568497,0.615950069,2.951445602,0.00726571,0
1_2,XY,482,293.2745124,0.619666796,3.03877823,0.007530631,0
1_2,XY,487,293.6625315,0.522121883,3.071051438,0.006386556,1
1_2,XY,488,292.0172411,0.625416377,3.181955213,0.007784715,0
1_2,XY,489,291.599987,0.537083503,3.149566207,0.006843447,0
1_2,XY,490,290.804918,0.568944967,3.061340687,0.006934773,0
1_2,XY,491,291.2507612,0.530231217,3.194729614,0.007104123,0
1_2,XY,492,291.6839509,0.555523955,3.005178285,0.006483017,0
1_2,XY,493,291.0503881,0.611843394,3.009760891,0.007438307,0
1_2,XY,494,292.1497798,0.617568727,3.029816972,0.007373689,0
1_2,XY,502,292.5974267,0.501760706,2.83843288,0.005698978,1
1_2,XY,503,291.1948432,0.654256273,3.005985613,0.007712097,0
1_2,XY,504,291.0159233,0.667030225,3.069796311,0.008032622,0
1_2,XY,505,291.4096055,0.583605777,3.156432842,0.007237097,0
1_2,XY,506,292.0581045,0.518805828,2.973240546,0.005887664,0
1_2,XY,507,291.8390266,0.60237841,2.987915663,0.007021206,0
1_2,XY,508,290.718912,0.633254033,3.050944091,0.007496103,0
1_2,XY,509,291.5358673,0.53543915,3.13651069,0.006218783,0
1_2,XY,514,293.389396,0.580478932,3.007737645,0.00683986,1
1_2,XY,515,291.3646524,0.567588383,3.154023415,0.00692427,0
1_2,XY,516,291.9340179,0.58000272,3.166840723,0.0071743,0
1_2,XY,517,292.1620984,0.689964113,3.138890479,0.008365086,0
1_2,XY,518,292.9453376,0.639488968,3.074264418,0.007474474,0
1_2,XY,519,292.379499,0.59847536,2.955730465,0.006903306,0
1_2,XY,520,292.3245487,0.514207951,3.003230066,0.005990914,0
1_2,XY,521,293.7821092,0.649062272,3.073318143,0.007784235,0
1_2,XY,526,293.6097145,0.72612276,2.814011849,0.007804998,1
1_2,XY,527,291.6771796,0.445325825,2.993649115,0.00539219,0
1_2,XY,528,290.1011327,0.729081555,2.964177758,0.008448071,0
1_2,XY,529,292.156421,0.630943719,2.954626317,0.00768968,0
1_2,XY,530,292.1787871,0.585709067,2.962427413,0.007004392,0
1_2,XY,531,290.7880973,0.651454579,2.890336366,0.007334427,0
1_2,XY,532,292.0211118,0.651677303,2.892017928,0.007658717,0
1_2,XY,533,292.0938239,0.623848818,2.99956905,0.007611305,0
1_2,XY,538,293.615232,0.609968089,3.051314733,0.006965711,1
1_2,XY,539,290.7169177,0.5420912,3.200895209,0.007076388,0
1_2,XY,540,291.9647254,0.557178658,3.167768395,0.006983907,0
1_2,XY,541,291.9217618,0.593818018,3.144009255,0.007123393,0
1_2,XY,542,291.5413282,0.596835602,3.204251865,0.007599125,0
1_2,XY,543,291.3614927,0.546947718,3.08669165,0.006815525,0
1_2,XY,544,292.1417372,0.556906066,3.091620914,0.006770572,0
1_2,XY,545,292.9020613,0.546192117,3.167190148,0.006854303,0
1_2,XY,577,293.6925093,0.528495069,3.352387408,0.006822881,1
1_2,XY,578,291.1271979,0.584491309,3.43941418,0.008021595,0
1_2,XY,579,292.2536922,0.601497692,3.478340683,0.00814423,0
1_2,XY,580,291.9530725,0.64504652,3.544456146,0.009095103,0
1_2,XY,581,292.3727146,0.597541869,3.305502181,0.007790626,0
1_2,XY,582,292.3204111,0.617369712,3.345601785,0.008248534,0
1_2,XY,583,292.4732613,0.682873876,3.297825463,0.008969162,0
1_2,XY,584,292.561188,0.514391197,3.447255477,0.006867986,0
1_2,XY,589,294.25451,0.633331818,3.319925003,0.008145342,1
1_2,XY,590,292.1931951,0.616271088,3.417914088,0.008383487,0
1_2,XY,591,292.3466694,0.531244629,3.364229066,0.007069332,0
1_2,XY,592,293.0430207,0.50579405,3.324825299,0.006691,0
1_2,XY,593,293.319494,0.705991932,3.258085739,0.009260288,0
1_2,XY,594,292.1752028,0.678288795,3.1272088,0.007832794,0
1_2,XY,595,293.2128991,0.618570557,3.231857789,0.008132258,0
1_2,XY,596,292.9951795,0.645426715,3.319043401,0.008365388,0
1_2,XY,601,294.2963972,0.717706565,2.935628144,0.008347853,1
1_2,XY,602,291.2815265,0.667857587,3.096868731,0.008289571,0
1_2,XY,603,289.5422239,0.611466478,3.031963941,0.007378337,0
1_2,XY,604,291.0362835,0.563679815,3.054525323,0.007015434,0
1_2,XY,605,293.6364532,0.686661695,3.27313881,0.009018159,0
1_2,XY,606,293.4943804,0.525627023,3.162678644,0.006628014,0
1_2,XY,607,293.1416588,0.623809519,3.166933315,0.007901152,0
1_2,XY,608,291.2866004,0.672935184,3.252566259,0.008746617,0
1_2,XY,613,293.809579,0.502676663,3.29280241,0.006724822,1
1_2,XY,614,291.923491,0.586592771,3.378552843,0.007907281,0
1_2,XY,615,292.098561,0.685653682,3.349146851,0.008976707,0
1_2,XY,616,291.7499828,0.666918724,3.274055306,0.008282747,0
1_2,XY,617,292.2349481,0.597785191,3.141278818,0.007364526,0
1_2,XY,618,292.0916707,0.720897256,2.996717539,0.008570598,0
1_2,XY,619,292.012573,0.636850036,3.035129564,0.007545406,0
1_2,XY,620,292.5046233,0.524860575,3.05335523,0.006256231,0
1_2,XY,628,293.6125635,0.609452692,2.856626886,0.006980511,1
1_2,XY,629,292.6913113,0.604316995,3.106117597,0.007316669,0
1_2,XY,630,292.2570754,0.666069633,3.151932675,0.007960774,0
1_2,XY,631,292.2099942,0.635589068,3.286322524,0.00851583,0
1_2,XY,632,293.1983024,0.64795379,3.028170295,0.007611887,0
1_2,XY,633,293.6677398,0.554358279,3.053228648,0.006896775,0
1_2,XY,634,291.2996758,0.623929433,3.129989357,0.007592211,0
1_2,XY,635,293.4345599,0.608467837,3.272214214,0.00766966,0
1_2,XY,640,294.1943358,0.641162559,3.093671418,0.007750668,1
1_2,XY,641,292.2775377,0.537033914,3.249360569,0.006824279,0
1_2,XY,642,291.9559004,0.470455546,3.234853253,0.006317731,0
1_2,XY,643,291.5021844,0.652318054,3.242463773,0.008363277,0
1_2,XY,644,293.7297933,0.62881214,3.088254994,0.007635156,0
1_2,XY,645,292.7600858,0.592106498,3.006442876,0.007058145,0
1_2,XY,646,292.2557852,0.632994981,3.112786304,0.008143074,0
1_2,XY,647,293.0528858,0.51246912,3.155924445,0.006453984,0
1_2,XY,652,293.4594357,0.624725754,2.801832868,0.006528228,1
1_2,XY,653,291.005148,0.658829041,3.016294587,0.007726187,0
1_2,XY,654,291.4511685,0.587919716,3.024590824,0.007240417,0
1_2,XY,655,292.2865111,0.733313447,3.008401732,0.008951963,0
1_2,XY,656,291.8545483,0.63113255,3.01084951,0.007744954,0
1_2,XY,657,290.4065552,0.734779105,2.915851409,0.008485263,0
1_2,XY,658,293.1266446,0.712432919,3.071696749,0.008482312,0
1_2,XY,659,292.2224243,0.608306805,3.147274308,0.007679557,0
1_2,XY,664,294.2359605,0.544487072,3.058375636,0.006634878,1
1_2,XY,665,291.4983745,0.752411432,3.255454192,0.009590648,0
1_2,XY,666,292.4036041,0.573917886,3.226610527,0.007218905,0
1_2,XY,667,291.5557357,0.595902832,3.159531647,0.007360422,0
1_2,XY,668,292.3180223,0.686902741,3.078427357,0.008189331,0
1_2,XY,669,291.5751037,0.540790417,3.003455909,0.006377503,0
1_2,XY,670,290.4526519,0.735881645,3.129462137,0.008992695,0
1_2,XY,671,294.450947,0.485958195,3.094716794,0.005867103,0
1_2,XY,679,293.2578843,0.72936728,2.892343898,0.008140347,1
1_2,XY,680,290.6437778,0.535478971,3.092103815,0.00637893,0
1_2,XY,681,290.8891992,0.506469116,3.11008732,0.00620617,0
1_2,XY,682,292.6397354,0.626311076,3.191692284,0.007873314,0
1_2,XY,683,292.4723782,0.568463627,2.937078383,0.00628209,0
1_2,XY,684,292.5902158,0.577222681,2.967444446,0.006543435,0
1_2,XY,685,292.6777651,0.699250964,2.957173682,0.008090897,0
1_2,XY,686,291.1859501,0.549105211,3.137354184,0.006782555,0
1_2,XY,691,292.734741,0.619742583,2.978685072,0.007431511,1
1_2,XY,692,291.8400493,0.630721385,3.123810845,0.007614755,0
1_2,XY,693,292.4246901,0.614483408,3.122336501,0.007581342,0
1_2,XY,694,292.6105722,0.612607614,3.096430302,0.007257944,0
1_2,XY,695,292.6281474,0.492003581,2.989337249,0.005983193,0
1_2,XY,696,291.6853269,0.60048828,2.905909711,0.006677638,0
1_2,XY,697,290.8233445,0.670086977,2.964943864,0.00811331,0
1_2,XY,698,292.2588538,0.634874363,3.061445039,0.007578387,0
1_2,XY,703,293.4113586,0.65367775,2.770390984,0.0073748,1
1_2,XY,704,291.6580899,0.619259313,2.926919407,0.007003619,0
1_2,XY,705,291.2610479,0.570117077,2.894346566,0.006770569,0
1_2,XY,706,291.755351,0.699890833,2.896164961,0.008125528,0
1_2,XY,707,293.3943173,0.661550311,2.971172292,0.007774077,0
1_2,XY,708,291.5179777,0.676672143,2.913977727,0.00744563,0
1_2,XY,709,291.3956213,0.538534822,2.982510887,0.006598942,0
1_2,XY,710,291.3848962,0.716860824,3.073086992,0.008721782,0
1_2,XY,715,293.1374036,0.602762918,2.926458672,0.006654108,1
1_2,XY,716,292.2031382,0.663007509,3.134629153,0.008297134,0
1_2,XY,717,290.7875561,0.644669009,3.082875806,0.008006941,0
1_2,XY,718,291.9608828,0.626244448,2.98347156,0.007399383,0
1_2,XY,719,291.7233962,0.694257023,3.065852167,0.008505136,0
1_2,XY,720,291.956598,0.59034752,2.965810976,0.007174472,0
1_2,XY,721,291.8105347,0.704815465,2.98544253,0.008291227,0
1_2,XY,722,292.1517297,0.758152419,3.003845519,0.009086287,0
1_2,XY,730,294.2476702,0.680159492,2.898500491,0.007759112,1
1_2,XY,731,290.6686213,0.71375496,3.090247809,0.009021432,0
1_2,XY,732,291.3079105,0.615418879,3.152961511,0.007360686,0
1_2,XY,733,292.466595,0.60224813,3.20019017,0.007545625,0
1_2,XY,734,291.6597601,0.612492102,2.898976624,0.006911974,0
1_2,XY,735,292.7774698,0.653621322,2.91364436,0.007705144,0
1_2,XY,736,292.161361,0.76802148,2.952217983,0.008906469,0
1_2,XY,737,291.9018649,0.636898581,3.130089026,0.007592089,0
1_2,XY,742,293.1904904,0.578007136,2.887852312,0.006708232,1
1_2,XY,743,291.3716533,0.620129496,3.061963653,0.007913448,0
1_2,XY,744,291.2490083,0.655168478,3.040242404,0.008307177,0
1_2,XY,745,291.5392594,0.637926453,3.023513538,0.007473307,0
1_2,XY,746,292.4100366,0.637057047,3.069309962,0.007751745,0
1_2,XY,747,292.1910369,0.695926868,2.986452699,0.008319332,0
1_2,XY,748,290.7385252,0.660636953,3.076433709,0.007842372,0
1_2,XY,749,291.6785346,0.683205402,3.145378842,0.008349682,0
1_2,XY,754,291.3244171,0.655229287,2.795732839,0.007210813,1
1_2,XY,755,291.3121669,0.518154465,2.967573547,0.006261328,0
1_2,XY,756,290.5471332,0.613052554,2.938490056,0.006836596,0
1_2,XY,757,291.7759469,0.589064304,2.921681988,0.006474076,0
1_2,XY,758,291.2118752,0.599598162,2.960337127,0.00710984,0
1_2,XY,759,291.6463798,0.60757595,2.846357474,0.00699223,0
1_2,XY,760,291.9873339,0.447840484,2.969510784,0.005267496,0
1_2,XY,761,293.1673387,0.51562938,3.056026515,0.006120524,0
1_2,XY,766,293.630144,0.674349069,2.961885769,0.007868759,1
1_2,XY,767,291.7073127,0.574547014,3.197529553,0.007186558,0
1_2,XY,768,291.3227968,0.486415284,3.145728537,0.00600057,0
1_2,XY,769,291.2535968,0.680919067,3.107402371,0.008225605,0
1_2,XY,770,292.6875002,0.519686759,3.213896464,0.006495637,0
1_2,XY,771,291.5776186,0.620399258,3.084426373,0.007631228,0
1_2,XY,772,291.8248322,0.621470799,3.099005212,0.007789236,0
1_2,XY,773,291.3074155,0.571622799,3.160981789,0.007158023,0
1_2,XY,826,295.1292161,0.566926238,3.362469303,0.007296955,1
1_2,XY,827,292.3979548,0.517974063,3.440335011,0.00713707,0
1_2,XY,828,292.932369,0.596981233,3.461807149,0.008125988,0
1_2,XY,829,292.0497651,0.591042762,3.586185803,0.008698164,0
1_2,XY,830,292.0685537,0.640582051,3.356791017,0.008449723,0
1_2,XY,831,292.1140823,0.692464321,3.337957979,0.009047914,0
1_2,XY,832,293.3049195,0.62473307,3.310119886,0.008337435,0
1_2,XY,833,292.2060923,0.526775748,3.54395882,0.007220816,0
1_2,XY,838,294.2260639,0.620229113,3.392352773,0.008042285,1
1_2,XY,839,291.2901157,0.578365911,3.439052179,0.008146989,0
1_2,XY,840,292.2775781,0.598037554,3.415301356,0.008313551,0
1_2,XY,841,293.0437393,0.631310102,3.410007003,0.008457773,0
1_2,XY,842,292.3506247,0.509118582,3.404893336,0.006927814,0
1_2,XY,843,291.6480145,0.627116907,3.270888935,0.008225451,0
1_2,XY,844,292.1064514,0.51551696,3.329685163,0.006699181,0
1_2,XY,845,292.9903663,0.523789186,3.395002335,0.006786375,0
1_2,XY,850,294.445954,0.580758472,3.199794222,0.007459276,1
1_2,XY,851,292.7330911,0.603534341,3.344349813,0.007673769,0
1_2,XY,852,292.7068504,0.530701824,3.266065361,0.006876558,0
1_2,XY,853,293.143226,0.55410219,3.229292266,0.006772723,0
1_2,XY,854,290.7816495,0.593730307,3.165775636,0.007428242,0
1_2,XY,855,292.1154562,0.630907713,3.037892452,0.007650765,0
1_2,XY,856,291.9694291,0.602067234,3.085138109,0.007456943,0
1_2,XY,857,291.2556914,0.58100036,3.220436342,0.00745369,0
1_2,XY,862,294.0128993,0.60569896,3.310669341,0.007708248,1
1_2,XY,863,292.73159,0.585655516,3.342650484,0.007833247,0
1_2,XY,864,292.1836133,0.549700627,3.307095925,0.007140436,0
1_2,XY,865,293.2216133,0.657059499,3.225398063,0.008251165,0
1_2,XY,866,292.1534503,0.602639242,3.283966145,0.008080892,0
1_2,XY,867,292.2858087,0.600147357,3.121536885,0.00733371,0
1_2,XY,868,292.6405596,0.590883494,3.144870892,0.007404384,0
1_2,XY,869,292.4480326,0.686078375,3.193973527,0.00853993,0
1_2,XY,877,295.2863493,0.543824542,3.006990349,0.006484202,1
1_2,XY,878,292.6678723,0.597490998,3.272245322,0.008098407,0
1_2,XY,879,291.838917,0.494569744,3.360868056,0.006711425,0
1_2,XY,880,292.8477606,0.620825384,3.442296938,0.008236043,0
1_2,XY,881,292.9266858,0.505996022,3.10770093,0.006245462,0
1_2,XY,882,293.1229979,0.725881847,3.137970904,0.008730476,0
1_2,XY,883,293.9688482,0.586031644,3.168236705,0.007089413,0
1_2,XY,884,292.6298702,0.64717863,3.366274731,0.008273497,0
1_2,XY,889,293.8958261,0.584132082,3.095572794,0.007051843,1
1_2,XY,890,291.8414204,0.608673391,3.302907952,0.007804734,0
1_2,XY,891,293.4394637,0.608405628,3.2925563,0.007955473,0
1_2,XY,892,291.4678395,0.636229149,3.28347724,0.008169292,0
1_2,XY,893,292.5264401,0.638632364,3.039943224,0.007929569,0
1_2,XY,894,292.920044,0.75463565,3.033067281,0.008931725,0
1_2,XY,895,292.5134523,0.728214823,3.052871333,0.008951663,0
1_2,XY,896,292.8319672,0.653705676,3.22564225,0.008235759,0
1_2,XY,901,293.545535,0.700719531,2.827459571,0.007751657,1
1_2,XY,902,290.7924263,0.503242846,3.03318618,0.006065984,0
1_2,XY,903,292.1891633,0.650565139,3.107524807,0.007952112,0
1_2,XY,904,291.3176709,0.695302544,3.080300791,0.00846591,0
1_2,XY,905,293.0326585,0.566422713,3.013164257,0.006442314,0
1_2,XY,906,292.4177338,0.619606036,2.992903223,0.0075813,0
1_2,XY,907,291.9382028,0.666971992,3.057165901,0.008145068,0
1_2,XY,908,292.7835243,0.548158725,3.188501515,0.00692487,0
1_2,XY,913,293.3687083,0.609079362,3.023633707,0.007026837,1
1_2,XY,914,293.0361673,0.656686361,3.214314141,0.008242007,0
1_2,XY,915,291.7487242,0.569096826,3.148225027,0.007208912,0
1_2,XY,916,292.358836,0.685682311,3.120547366,0.008251922,0
1_2,XY,917,292.5838624,0.597099255,3.238252985,0.007738689,0
1_2,XY,918,292.0781126,0.647822965,3.152302924,0.008034271,0
1_2,XY,919,292.0162761,0.575005401,3.175508,0.007375256,0
1_2,XY,920,292.7111187,0.586954657,3.24261669,0.007544578,0
1_2,XY,928,293.7677443,0.720250253,2.929340554,0.008520125,1
1_2,XY,929,290.6659473,0.528173856,3.133667529,0.006427724,0
1_2,XY,930,291.2914494,0.628657007,3.219599323,0.007936001,0
1_2,XY,931,290.3263636,0.626938473,3.259627918,0.008106455,0
1_2,XY,932,293.4643038,0.596828117,3.15536404,0.007320528,0
1_2,XY,933,291.6787106,0.520134767,3.139197866,0.007010459,0
1_2,XY,934,290.7154594,0.602817477,3.194571204,0.007821316,0
1_2,XY,935,291.7564785,0.578320819,3.290662504,0.007332798,0
1_2,XY,940,293.0619943,0.572350968,2.954348021,0.006498869,1
1_2,XY,941,291.1174164,0.581972793,3.110524625,0.007367557,0
1_2,XY,942,292.2635703,0.641515742,3.111960415,0.007905544,0
1_2,XY,943,291.4482133,0.587769725,3.082450584,0.007017484,0
1_2,XY,944,291.2648784,0.582811563,3.141922185,0.007333484,0
1_2,XY,945,292.3376919,0.708737761,2.998382599,0.008497583,0
1_2,XY,946,292.2339916,0.583014476,3.133351665,0.007154485,0
1_2,XY,947,290.490841,0.701575673,3.167580876,0.00877444,0
1_2,XY,952,292.7078356,0.746345694,2.695724274,0.007822162,1
1_2,XY,953,291.1784979,0.600986049,2.903402523,0.006734253,0
1_2,XY,954,292.2236595,0.70880006,2.858905798,0.008304824,0
1_2,XY,955,291.0912804,0.685810192,2.843783664,0.007742048,0
1_2,XY,956,291.4941381,0.677892047,3.011007615,0.008441398,0
1_2,XY,957,291.8775335,0.551638099,2.921323567,0.006457287,0
1_2,XY,958,291.5343798,0.603897374,2.979520459,0.007002955,0
1_2,XY,959,291.487646,0.619126044,3.043031565,0.007429972,0
1_2,XY,964,291.5350285,0.637754719,2.993788537,0.007450985,1
1_2,XY,965,292.5475565,0.649858093,3.148643852,0.008170573,0
1_2,XY,966,291.5674334,0.751275751,3.13343343,0.009287114,0
1_2,XY,967,291.1728005,0.574186602,3.06962971,0.006774064,0
1_2,XY,968,290.9005385,0.501310965,3.171441127,0.006715674,0
1_2,XY,969,292.5411239,0.577225051,3.032813432,0.006966602,0
1_2,XY,970,291.4951029,0.619227421,3.102890803,0.007676583,0
1_2,XY,971,292.2639342,0.652346738,3.079519839,0.007787902,0
1_2,XY,1003,294.4177107,0.632089456,3.431058485,0.008707077,1
1_2,XY,1004,292.7566253,0.644843102,3.490456344,0.009050858,0
1_2,XY,1005,292.6080235,0.61168341,3.588783957,0.008624527,0
1_2,XY,1006,293.266588,0.632577991,3.685116695,0.009310342,0
1_2,XY,1007,293.7202469,0.582972661,3.264098425,0.007649677,0
1_2,XY,1008,292.7393779,0.642921576,3.275022194,0.008387965,0
1_2,XY,1009,292.9144355,0.579166724,3.301621455,0.007661041,0
1_2,XY,1010,293.126529,0.626135389,3.526645975,0.00884862,0
