Fill,nbx,lumi,iLumi,Run1,Ratio,CorrRatio,CorrEff,CorEfftoVDM,FitEff,CortoVDM,,
5340,2208,499.56,36.780,281707,1.069118277,1.069118277,0.935350205,0.955810258,0.937324758,0.957828002,,
5345,2208,417.206,37.279,281797,1.07538653,1.07538653,0.929898201,0.950238995,0.935239745,0.955697381,,
5351,2208,418.678,37.697,281974,1.070700084,1.070700084,0.933968359,0.954398184,0.933498452,0.953917999,,
5352,2208,385.186,38.115,282033,1.073934611,1.073934611,0.931155389,0.951523683,0.931751016,0.952132339,,
5355,2208,408.149,38.501,282092,1.084331008,1.084331008,0.922227616,0.942400622,0.930143365,0.950489522,,
5391,2208,44.292,38.955,282707,1.074313695,1.074313695,0.93082682,0.951187927,0.928247257,0.948551938,,
5393,2208,504.65,38.999,282730,1.078751141,1.078751141,0.926997861,0.947275212,0.928062396,0.948363033,,
5394,2208,469.689,39.504,282796,1.080918303,1.080918303,0.925139298,0.945375995,0.925956138,0.946210702,,
5395,2208,27.755,39.973,282829,1.088945064,1.088945064,0.918319971,0.938407501,0.923995797,0.94420748,,
5401,2208,222.733,40.001,282917,1.088092394,1.088092394,0.919039601,0.939142872,0.923879956,0.944089105,,
5405,2208,179.801,40.224,283039,1.088128004,1.088128004,0.919009525,0.939112138,0.922950335,0.94313915,,
5406,2208,269.844,40.404,283049,1.090455282,1.090455282,0.917048151,0.93710786,0.9221999,0.942372299,,
5416,2208,621.773,40.681,283270,1.061083859,1.061083859,0.942432581,0.963047555,0.921042086,0.94118916,,
5418,2112,379.369,41.303,283305,1.081836801,1.081836801,0.924353839,0.944573354,0.918446992,0.9385373,,
5421,2208,467.966,41.682,283353,1.089719993,1.089719993,0.91766693,0.937740174,0.91686362,0.936919293,,
5423,2208,567.878,42.150,283407,1.090149246,1.090149246,0.917305592,0.937370933,0.914909969,0.934922907,,
5424,2208,138.508,42.718,283453,1.104798981,1.104798981,0.905142037,0.924941309,0.912539817,0.93250091,,
5427,2208,239.06,42.863,283478,1.100530621,1.100530621,0.908652591,0.928528654,0.930153341,0.950499716,Group5,eff=1.28129725-0.0081923*iLumi
5433,2028,208.659,43.102,283548,1.071075237,1.071075237,0.933641228,0.954063898,0.92819489,0.948498425,,
5437,2208,234.769,43.310,283672,1.073115332,1.073115332,0.931866287,0.952250131,0.926485493,0.946751637,,
5439,2208,422.386,43.545,283818,1.074954888,1.074954888,0.930271597,0.950620558,0.924562195,0.944786268,,
5441,2208,300.902,43.968,283860,1.079909112,1.079909112,0.926003854,0.946259463,0.921101882,0.941250263,,
5442,2208,449.481,44.268,283876,1.080518082,1.080518082,0.925481967,0.94572616,0.918636802,0.938731262,,
5443,2208,468.155,44.718,283884,1.087704949,1.087704949,0.919366967,0.939477399,0.914954519,0.934968432,,
5446,2208,344.558,45.186,283933,1.099477101,1.099477101,0.909523263,0.929418371,0.911119253,0.931049272,,
5448,2208,385.032,45.531,283946,1.107843896,1.107843896,0.902654249,0.922399103,0.908296531,0.928164805,,
5450,2208,114.031,45.916,284006,1.10964255,1.10964255,0.901191109,0.920903958,0.905142233,0.92494151,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
