Fill,nbx,lumi,iLumi,run1,slope,err,,,,,
5253,2208,453.045,29.842,279653,-0.006286063,0.000162457,group2,-0.005,,,
5254,2208,220.182,30.295,279667,-0.004067045,0.000537779,group2,-0.005,,,
5256,2208,100.125,30.516,279681,-0.008262705,0.003936332,group3,-0.006149887,,,
5257,2208,436.122,30.616,279691,-0.006695355,0.000219091,group3,-0.006239789,,,
5258,2208,421.897,31.052,279715,-0.007090516,0.000392611,group3,-0.006631383,,,
5261,2208,549.631,31.474,279760,-0.007335984,0.000161841,group3,-0.007010205,,,
5264,2208,236.373,32.023,279794,-0.008899729,0.00036264,group3,-0.007503718,,,
5265,2208,86.449,32.260,279823,-0.008881126,0.00156186,group3,-0.007715958,,,
5266,2208,400.045,32.346,279841,-0.010757702,0.000250038,group3,-0.00779358,,,
5267,2208,74.282,32.746,279844,-0.006495105,0.000616325,group3,-0.008152781,,,y=0.02125-0.0008979*iLumi
5270,2208,80.803,32.820,279887,-0.012340099,0.005310021,group3,-0.008219478,,,
5274,2208,490.927,32.901,279931,-0.010205996,0.000205612,group3,-0.008292031,,,
5275,2208,100.807,33.392,279966,-0.004742023,0.00172295,group3,-0.008732835,,,
5276,2208,254.81,33.493,279975,-0.011652501,0.000921523,group3,-0.008823349,,,
5277,2208,606.765,33.748,279993,-0.012283448,0.000195598,group3,-0.009052143,,,
5279,2208,344.761,34.355,280186,-0.009543948,0.000341552,group3,-0.009596958,,,
5282,2208,465.785,34.701,280234,-0.011274371,0.000151535,group3,-0.009908304,,,
5287,2208,569.141,35.167,280327,-0.011692877,0.001065032,group3,-0.010326533,,,
5288,2208,423.723,35.736,280383,0.012446138,0.00141114,group4,0.000186579,,,
5331,157,12.148,36.160,281613,-0.001710718,0.000117853,group4,-0.000635236,,,
5338,1165,91.584,36.183,281636,-0.003512025,0.001805772,group4,-0.00067977,,,
5339,2208,505.022,36.275,281663,-0.005882827,0.000187083,group4,-0.000857259,,,
5340,2208,499.56,36.780,281707,-0.007222443,8.97E-05,group4,-0.001835992,,,
5345,2208,417.206,37.279,281797,-0.003407677,0.000208098,group4,-0.002804139,,,
5351,2208,418.678,37.697,281974,-0.005262361,0.000185877,group4,-0.003612684,,,
5352,2208,385.186,38.115,282033,-0.006184248,0.000279378,group4,-0.004424082,,,y=0.0694434-0.001938*iLumi
5355,2208,408.149,38.501,282092,-0.008903051,0.000616949,group4,-0.005170573,,,
5393,2208,504.65,38.999,282730,-0.004863035,0.000205277,group4,-0.006136842,,,
5394,2208,469.689,39.504,282796,-0.003484372,0.000285462,group4,-0.007114854,,,
5401,2208,222.733,40.001,282917,-0.0050744,0.000564094,group4,-0.0080789,,,
5405,2208,179.801,40.224,283039,-0.001899547,0.000720445,group4,-0.008510557,,,
5406,2208,269.844,40.404,283049,-0.004674509,0.000711825,group4,-0.008859011,,,
5416,2208,621.773,40.681,283270,-0.013705266,0.000147753,group4,-0.009396626,,,
5418,2112,379.369,41.303,283305,-0.00999864,0.000531375,group4,-0.010601622,,,
5421,2208,467.966,41.682,283353,-0.010331629,0.000133152,group4,-0.011336839,,,
5423,2208,567.878,42.150,283407,-0.019645653,0.004720155,group4,-0.01224399,,,
5424,2208,138.508,42.718,283453,-0.012163934,0.000981339,group4,-0.013344537,,,
