Fill,nbx,lumi,iLumi,Run1,Ratio,CorrRatio,CorrEff,FitEff,,
5027,2028,229.606,9.904,275319,1.032090306,1.050798892,0.951656885,0.960117503,,
5028,2028,122.584,10.133,275344,1.035214595,1.053979814,0.948784774,0.959251062,,
5029,2028,163.679,10.256,275370,1.036558278,1.055347854,0.947554871,0.958788479,,
5030,2028,576.306,10.420,275375,1.024975598,1.043555216,0.958262663,0.95817082,,
5038,1884,99.759,10.996,275656,1.030643129,1.049325482,0.952993154,0.955996072,,
5043,2064,608.062,11.096,275757,1.018679101,1.037144583,0.964185723,0.955619621,,
5045,2064,784.297,11.704,275828,1.025224673,1.043808806,0.958029856,0.953325038,,
5048,2064,281.257,12.488,275886,1.032526206,1.051242693,0.951255126,0.950365415,,
5052,2064,396.781,12.769,275911,1.033171324,1.051899505,0.950661156,0.949304064,,
5056,2064,25.395,13.166,275963,1.03722314,1.056024768,0.946947487,0.947806771,,
5060,2064,139.422,13.255,276092,1.042093559,1.060983472,0.942521751,0.947471038,,
5069,2064,618.341,13.525,276224,1.04511006,1.064054653,0.93980135,0.946451758,,
5071,2064,401.002,14.143,276282,1.048014761,1.067012007,0.937196576,0.944118387,,
5072,2064,194.412,14.544,276315,1.048437998,1.067442916,0.936818245,0.942605165,,
5073,2064,554.395,14.739,276349,1.049427812,1.068450673,0.935934644,0.941871532,,
5076,2064,606.026,15.293,276437,1.053237074,1.072328985,0.932549632,0.939779467,,
5078,2064,586.547,15.899,276495,1.044133122,1.063060006,0.940680671,0.937492568,,
5080,2064,497.732,16.486,276525,1.045890772,1.064849517,0.93909983,0.935279174,,
5083,2064,375.404,16.984,276542,1.049131398,1.068148886,0.936199076,0.933400932,,
5085,2064,524.324,17.359,276581,1.047857108,1.066851497,0.93733758,0.931984308,,
5091,2064,307.338,17.883,276653,1.042924206,1.061829177,0.94177107,0.930005719,,
5093,2064,570.877,18.191,276775,1.046289473,1.065255445,0.938741974,0.928845948,,
5095,2064,574.283,18.761,276807,1.053112056,1.072201701,0.932660338,0.926691687,,
5096,2064,525.266,19.336,276831,1.060077814,1.079293726,0.926531838,0.924524572,,
5097,2064,554.585,19.861,276870,1.065093866,1.084400703,0.922168343,0.922542429,,
5101,2064,186.911,20.416,276935,1.064065409,1.083353604,0.923059652,0.920449647,,
5102,2064,544.558,20.603,276940,1.065305591,1.084616266,0.921985066,0.919744319,,
5105,2064,730.9,21.147,277069,1.082596376,1.102220479,0.907259499,0.917689375,,
5106,2064,497.154,21.878,277093,1.072371391,1.091810147,0.915910154,0.914931251,,
5107,2064,199.948,22.375,277126,1.075005811,1.094492321,0.913665615,0.913055191,,
5108,2064,153.519,22.575,277148,1.07498528,1.094471418,0.913683065,0.912300667,,
5109,2064,408.612,22.729,277166,1.078713948,1.098267675,0.910524841,0.911721347,,
5110,2064,38.784,23.137,277180,1.08073408,1.100324426,0.908822868,0.910179409,,
5111,2064,483.552,23.176,277194,1.088507629,1.108238885,0.902332533,0.910033054,,
5116,2064,172.579,23.785,277305,1.087806784,1.107525336,0.902913882,0.907735139,,
5117,2064,72.877,23.958,277420,1.083790746,1.1034365,0.906259672,0.907083895,,
